domain name,responseStart,domInteractive,domComplete
pcmag.com,51.46500000046217,4252.015000000029,14574.97499999954
glassdoor.com,666.9000000001688,1786.615000000893,3397.1149999997583
discordapp.com,68.33999999980733,953.510000001188,1190.4100000010658
pexels.com,40.88000000047032,89.06000000024505,259.35000000026776
y2mate.com,138.44000000062806,275.565000001734,442.5050000008923
g.page,272.24000000023807,824.3449999990843,939.9999999986903
messenger.com,931.2250000002678,1214.2250000015338,1604.5900000008262
thepiratebay.org,2428.315000001021,2489.165000000867,2503.2599999995
namu.wiki,634.3649999998887,673.1999999992695,792.8400000000693
gstatic.com,12.424999998984275,47.904999999445856,70.74999999895226
jotform.com,258.3649999996851,5004.799999998795,9339.324999999008
blogspot.co.uk,876.2299999998503,1286.2749999985679,1413.1999999990512
mgid.com,1836.9949999996606,2651.499999999942,6311.464999998862
googleblog.com,159.88500000094064,270.8199999997305,341.7399999998452
google.co.kr,109.48000000098546,304.8350000008213,839.2500000009022
google.com.ua,121.81500000042429,261.42500000059954,510.2850000002945
thelancet.com,1165.8399999996618,1260.1849999991828,1266.0849999992936
getbootstrap.com,167.14999999931024,464.1249999986029,4311.044999998558
withgoogle.com,343.5200000003533,455.9050000007119,1005.1950000015497
fbsbx.com,120.87999999857857,214.86999999979162,215.00999999989293
scmp.com,255.26499999978114,1307.7200000006994,24169.83500000061
google.gr,121.85999999928757,243.57499999860008,626.6049999994719
thegatewaypundit.com,53.629999998520354,4868.829999999434,10513.259999999718
googleapis.com,27.07000000009429,92.97999999944295,93.4099999994942
mixcloud.com,119.57000000074913,1441.7599999997033,4294.354999999996
google.nl,118.9200000007986,248.6200000003009,580.260000000635
google.ro,141.84000000022934,376.2750000005326,623.7700000001496
m.me,906.5199999986363,1147.0099999987724,1521.7549999997573
businessinsider.de,69.24500000059196,8232.485000000452,12267.605000000913
spankbang.com,286.4549999994779,569.2999999992028,4841.834999999264
etoro.com,119.94500000037078,426.3849999988452,12261.02499999979
google.co.ve,104.45999999865309,348.6849999990227,711.0799999991285
viva.co.id,198.22000000021941,772.4550000002638,976.5750000005936
yts.mx,300.9199999996781,939.7399999998016,4407.020000000557
google.com.my,132.77999999991152,236.1200000013924,589.7750000003724
google.be,107.86499999994705,219.97499999997672,571.3050000013027
mdpi.com,61.924999999973814,304.309999999532,538.7900000005175
colorlib.com,331.2499999992724,4601.09999999986,4632.509999999456
dcard.tw,622.3300000001473,1173.6750000000031,5846.700000000055
google.ch,105.4149999999936,364.77999999988236,2283.9249999997264
google.com.ph,110.90499999954771,326.5950000004524,1052.9249999999593
google.co.za,115.74999999902502,406.5499999996973,890.2949999992418
google.cl,121.01000000075146,306.35000000074797,664.2000000010738
thehindu.com,57.01000000044587,306.98500000107737,4435.81500000073
billboard.com,158.06499999962398,600.3949999994803,9595.900000000256
greenpeace.org,339.734999999564,650.6499999995867,819.1050000004907
yolasite.com,493.8299999994342,4655.19999999924,9005.59499999872
doordash.com,90.94999999979336,226.47499999948195,323.96999999946274
google.az,157.19999999964784,615.8400000003894,1889.9300000011865
google.at,183.05500000133182,567.5350000001345,1282.6700000005076
google.com.pk,152.69499999885738,538.8199999997596,1312.0149999995192
teachable.com,763.9099999996687,5021.354999998948,9362.429999999222
g.co,80.98499999869091,124.12499999845751,214.3349999987549
blogspot.ca,865.2899999997318,1220.180000000255,1532.2149999992691
google.dz,111.1799999998766,370.5149999987043,701.7249999989873
elwatannews.com,77.47500000004949,5018.4099999987675,5890.679999998611
iherb.com,144.08000000003085,1110.8000000003813,1163.9200000008714
google.com.pe,115.7550000007177,253.80000000041042,518.2700000004843
clarin.com,70.65999999940686,4243.434999998499,13852.31500000009
cell.com,570.2500000006694,680.3749999999127,697.9549999996381
blogspot.de,798.305000000255,1055.4350000002162,1141.5999999990165
cloudinary.com,152.54499999900872,295.2100000002247,15675.414999999704
athemes.com,407.4199999995472,4537.229999999909,8546.0750000002
about.google,147.29500000066764,313.4900000004564,640.6100000003789
google.pt,105.70499999994354,220.22000000106343,461.0650000013266
pdfdrive.com,108.16499999964435,8169.785000000048,8170.769999998811
google.com.co,125.53500000103668,443.76499999998487,916.2250000008496
