no,domain name,website,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
790,google.co.kr,https://www.google.co.kr,ok,216.58.206.3,443.0,0.0,0.243058,0.232744,0.243168,0.0,0.48264,0.508691
797,google.com.ua,https://www.google.com.ua,ok,172.217.23.131,443.0,0.0,0.25344,0.239517,0.253566,0.0,0.489549,0.515872
814,thelancet.com,https://www.thelancet.com,ok,104.18.123.114,443.0,0.0,0.247359,0.239691,0.247481,0.0,0.478679,1.479977
850,getbootstrap.com,https://www.getbootstrap.com,ok,104.22.58.100,443.0,0.0,0.250633,0.011248,0.250748,0.0,0.490807,0.490918
873,withgoogle.com,https://www.withgoogle.com,ok,172.217.23.113,443.0,0.0,1.519673,0.018272,1.519795,0.0,1.99564,1.995702
877,fbsbx.com,https://www.fbsbx.com,ok,157.240.9.18,443.0,0.0,0.236726,0.011996,0.236862,0.0,0.485379,0.48576
887,scmp.com,https://www.scmp.com,ok,104.17.184.66,443.0,0.0,0.470372,0.235727,0.4704680000000001,0.0,0.970054,4.733694
890,google.gr,https://www.google.gr,ok,172.217.21.195,443.0,0.0,0.258787,0.244739,0.258888,0.0,0.49472,0.494878
903,thegatewaypundit.com,https://www.thegatewaypundit.com,ok,172.67.41.88,443.0,0.0,0.051787,0.032146,0.051971,0.0,0.069574,0.098956
934,googleapis.com,https://www.googleapis.com,ok,172.217.16.170,443.0,0.0,1.477643,0.005822,1.477752,0.0,1.488801,1.488884
935,mixcloud.com,https://www.mixcloud.com,ok,104.20.5.36,443.0,0.0,0.485073,0.008868000000000001,0.485193,0.0,0.7306020000000001,0.7318520000000001
943,google.nl,https://www.google.nl,ok,216.58.212.131,443.0,0.0,0.25418,0.240843,0.254287,0.0,0.517311,0.741224
958,google.ro,https://www.google.ro,ok,172.217.23.99,443.0,0.0,0.253232,0.241694,0.253363,0.0,0.491731,0.518301
978,m.me,https://www.m.me,ok,157.240.9.18,443.0,0.0,1.985658,0.233542,1.98577,0.0,2.233308,2.23337
1014,businessinsider.de,https://www.businessinsider.de,ok,104.22.66.154,443.0,0.0,1.7540220000000002,0.012234,1.7541240000000002,0.0,1.990747,1.998358
1033,spankbang.com,https://www.spankbang.com,ok,104.19.137.100,443.0,0.0,0.235118,0.228409,0.23523,0.0,0.7283069999999999,0.728438
1036,etoro.com,https://www.etoro.com,ok,104.18.18.67,443.0,0.0,0.484486,0.470809,0.484602,0.0,0.72032,0.726626
1044,google.co.ve,https://www.google.co.ve,ok,216.58.208.35,443.0,0.0,0.243787,0.013046,0.243905,0.0,0.49257,1.493817
1054,viva.co.id,https://www.viva.co.id,ok,172.67.18.44,443.0,0.0,1.250487,1.226495,1.250624,0.0,3.2263490000000004,3.476636
1078,yts.mx,https://www.yts.mx,ok,104.26.7.75,443.0,0.0,1.483682,0.011806,1.483799,0.0,1.490735,1.490814
1093,google.com.my,https://www.google.com.my,ok,172.217.16.131,443.0,0.0,0.2451,0.015397,0.245392,0.0,0.4939770000000001,1.4952219999999998
1108,google.be,https://www.google.be,ok,172.217.22.67,443.0,0.0,0.244793,0.232724,0.244937,0.0,0.482801,0.508896
1131,mdpi.com,https://www.mdpi.com,ok,104.18.24.151,443.0,0.0,0.237483,0.225714,0.237587,0.0,1.7423919999999995,1.750416
1166,colorlib.com,https://www.colorlib.com,ok,104.22.46.110,443.0,0.0,0.023262,0.016699000000000002,0.023358,0.0,0.243323,1.244331
1181,dcard.tw,https://www.dcard.tw,ok,104.16.105.87,443.0,0.0,0.24630700000000005,0.012194,0.246411,0.0,0.739743,0.739879
1212,google.ch,https://www.google.ch,ok,216.58.212.163,443.0,0.0,0.25917,0.237844,0.260471,0.0,0.487866,0.488043
1214,google.com.ph,https://www.google.com.ph,ok,172.217.22.67,443.0,0.0,0.2463090000000001,0.232003,0.246599,0.0,0.482136,0.508474
1250,google.co.za,https://www.google.co.za,ok,216.58.206.3,443.0,0.0,0.244279,0.226055,0.244405,0.0,0.47601,0.502654
1255,google.cl,https://www.google.cl,ok,172.217.18.99,443.0,0.0,0.240679,0.228606,0.240774,0.0,0.478915,0.505749
1258,thehindu.com,https://www.thehindu.com,ok,104.18.12.153,443.0,0.0,0.24504,0.2353260000000001,0.245188,0.0,0.4786220000000001,0.489988
1261,billboard.com,https://www.billboard.com,ok,104.17.107.31,443.0,0.0,0.238644,0.233633,0.238743,0.0,0.483463,2.989392
1263,greenpeace.org,https://www.greenpeace.org,ok,104.20.53.128,443.0,0.0,1.74527,0.017891,1.7454150000000002,0.0,2.492805,2.492873
1272,yolasite.com,https://www.yolasite.com,ok,104.16.160.215,443.0,0.0,1.742535,0.017365000000000002,1.742639,0.0,2.48996,2.49008
1287,doordash.com,https://www.doordash.com,ok,104.18.23.233,443.0,0.0,0.024582,0.015543,0.02469,0.0,0.246183,1.247106
1291,google.az,https://www.google.az,ok,172.217.23.99,443.0,0.0,0.245643,0.233491,0.245759,0.0,0.483766,0.509992
1298,google.at,https://www.google.at,ok,216.58.212.163,443.0,0.0,0.253802,0.239381,0.253935,0.0,0.476869,0.503304
1338,google.com.pk,https://www.google.com.pk,ok,172.217.18.163,443.0,0.0,1.9932,1.9806,1.993317,0.0,4.744349,4.969996
1375,teachable.com,https://www.teachable.com,ok,104.19.239.117,443.0,0.0,0.241597,0.228923,0.241711,0.0,0.478919,1.479952
1388,g.co,https://www.g.co,ok,142.250.74.206,443.0,0.0,0.2361800000000001,0.223829,0.236266,0.0,0.248575,0.248667
1408,blogspot.ca,https://www.blogspot.ca,ok,172.217.23.169,443.0,0.0,0.245417,0.233775,0.245528,0.0,0.483821,0.510034
1423,google.dz,https://www.google.dz,ok,172.217.23.131,443.0,0.0,0.260651,0.243398,0.260765,0.0,0.492595,0.5191680000000001
1447,elwatannews.com,https://www.elwatannews.com,ok,104.22.42.113,443.0,0.0,2.5,0.241355,2.500106,0.0,2.721634,2.734078
1454,iherb.com,https://www.iherb.com,ok,104.16.109.36,443.0,0.0,2.22808,0.225243,2.22819,0.0,2.475072,2.475145
1465,google.com.pe,https://www.google.com.pe,ok,216.58.212.163,443.0,0.0,0.252863,0.238367,0.253006,0.0,0.488303,0.488436
1500,clarin.com,https://www.clarin.com,ok,104.18.18.22,443.0,0.0,0.020401,0.008688,0.020492,0.0,0.240121,0.253899
1510,cell.com,https://www.cell.com,ok,104.18.124.114,443.0,0.0,0.250262,0.229288,0.250371,0.0,4.479178,4.479317
1513,blogspot.de,https://www.blogspot.de,ok,172.217.23.169,443.0,0.0,0.241294,0.22936,0.241394,0.0,0.47937,0.505314
1573,cloudinary.com,https://www.cloudinary.com,ok,162.159.137.83,443.0,0.0,1.982445,0.009283,1.982553,0.0,2.22956,2.22976
1577,athemes.com,https://www.athemes.com,ok,104.26.15.88,443.0,0.0,0.246725,0.236739,0.246858,0.0,0.486581,1.4873459999999998
1580,about.google,https://www.about.google,ok,142.250.74.206,443.0,0.0,0.499752,0.241532,0.499884,0.0,0.510688,0.510811
1606,google.pt,https://www.google.pt,ok,172.217.16.195,443.0,0.0,0.245465,0.012986,0.245599,0.0,0.494201,1.495307
1635,pdfdrive.com,https://www.pdfdrive.com,ok,104.26.6.150,443.0,0.0,1.500293,0.010276,1.5004,0.0,1.736434,1.7402990000000005
1652,google.com.co,https://www.google.com.co,ok,216.58.212.163,443.0,0.0,0.255083,0.240596,0.255203,0.0,0.490747,0.5197930000000001
1666,000webhost.com,https://www.000webhost.com,ok,104.18.108.8,443.0,0.0,0.236554,0.224448,0.236687,0.0,7.724175999999999,8.725378
1679,v2ex.com,https://www.v2ex.com,ok,104.20.10.218,443.0,0.0,0.251252,0.233294,0.251356,0.0,1.232138,1.237458
1681,boutell.co.uk,https://www.boutell.co.uk,ok,77.72.2.19,443.0,0.0,1.233863,0.231359,1.23397,0.0,1.249231,1.481706
1728,boingboing.net,https://www.boingboing.net,ok,172.67.22.113,443.0,0.0,0.23525,0.228364,0.235362,0.0,0.981349,0.981477
1746,google.se,https://www.google.se,ok,172.217.23.131,443.0,0.0,0.246223,0.014614,0.246344,0.0,0.49523,0.521349
1761,transferwise.com,https://www.transferwise.com,ok,104.16.40.16,443.0,0.0,0.242839,0.00677,0.243101,0.0,0.265437,0.26555300000000004
1780,buffer.com,https://www.buffer.com,ok,104.16.140.52,443.0,0.0,0.02129,0.012872,0.021399,0.0,0.246522,1.247736
1786,codepen.io,https://www.codepen.io,ok,104.17.14.48,443.0,0.0,0.24049,0.014718,0.24059,0.0,0.489097,0.49043
1793,macrumors.com,https://www.macrumors.com,ok,104.22.3.106,443.0,0.0,0.016318,0.006722,0.016429,0.0,0.243039,0.495645
1817,blogspot.com.es,https://www.blogspot.com.es,ok,172.217.23.169,443.0,0.0,0.238852,0.223999,0.238988,0.0,0.475175,0.475294
1825,google.ae,https://www.google.ae,ok,216.58.210.3,443.0,0.0,0.25456,0.236661,0.25467199999999995,0.0,0.486664,0.486836
1841,blogspot.fr,https://www.blogspot.fr,ok,172.217.23.169,443.0,0.0,0.245945,0.232091,0.246058,0.0,0.4715180000000001,0.498352
1861,arduino.cc,https://www.arduino.cc,ok,104.22.49.75,443.0,0.0,0.024443,0.013619999999999998,0.024552,0.0,0.248114,1.249342
1894,hamariweb.com,https://www.hamariweb.com,ok,104.22.70.203,443.0,0.0,0.236915,0.224162,0.237027,0.0,0.474116,0.48278
1984,atlasobscura.com,https://www.atlasobscura.com,ok,104.26.0.248,443.0,0.0,0.254542,0.019021,0.254652,0.0,1.246225,1.508573
1990,google.hu,https://www.google.hu,ok,216.58.212.163,443.0,0.0,0.2413760000000001,0.228996,0.241502,0.0,0.479054,0.505167
2028,nerdwallet.com,https://www.nerdwallet.com,ok,104.18.23.225,443.0,0.0,0.244767,0.232193,0.2449010000000001,0.0,1.222017,1.22941
2061,lifehack.org,https://www.lifehack.org,ok,104.20.199.58,443.0,0.0,0.011898,0.005616,0.012013,0.0,0.248231,0.255807
2114,mass.gov,https://www.mass.gov,ok,104.17.86.186,443.0,0.0,0.486425,0.474723,0.48652,0.0,0.980622,0.987721
2120,google.co.il,https://www.google.co.il,ok,172.217.21.227,443.0,0.0,0.48967,0.469588,0.48979,0.0,0.719649,0.7462850000000001
2145,hubspot.net,https://www.hubspot.net,ok,199.60.103.226,443.0,0.0,1.270027,0.019279,1.2701440000000002,0.0,2.243406,2.243469
2160,thinkwithgoogle.com,https://www.thinkwithgoogle.com,ok,172.217.16.209,443.0,0.0,0.247369,0.233293,0.247469,0.0,0.742158,1.234927
2183,recaptcha.net,https://www.recaptcha.net,ok,172.217.18.163,443.0,0.0,0.243393,0.011841,0.243521,0.0,0.253775,0.253899
