no,website,responseStart,domInteractive,domComplete,nextHopProtocol
5457,https://www.vu.nl,1024.039999998422,5740.434999999707,6070.989999998346,h3-29
5466,https://www.fresherslive.com,122.4849999998696,485.9550000001036,793.0349999987811,h3-29
5481,https://www.google.com.uy,361.35999999896734,500.87999999959715,751.6299999988405,h3-29
5482,https://www.taroot-rangi.com,99.84500000064145,334.2550000015762,4332.159999999931,h3-29
5544,https://www.pressherald.com,497.9849999999715,12767.555000000357,24905.18499999962,h3-29
5587,https://www.redgifs.com,50.429999999323634,16475.10499999953,20640.019999998916,h3-29
5590,https://www.indosport.com,527.2050000003219,4974.145000000135,8993.080000000191,h3-29
5647,https://www.pjmedia.com,1457.4049999991987,9278.709999998682,12382.289999999555,h3-29
5655,https://www.friendfeed.com,0.24499999926774765,116.93999999988593,136.11999999920954,
5675,https://www.piliapp.com,105.82000000067636,406.2950000006822,419.0999999991618,h3-29
5678,https://www.nation.africa,152.9499999996915,615.9399999996822,5444.5249999989755,h3-29
5681,https://www.storeboard.com,367.58000000008906,646.4450000003127,735.6900000013411,h3-29
5682,https://www.lihkg.com,440.8700000003592,574.7499999997673,621.3050000005751,h3-29
5685,https://www.mundosexanuncio.com,461.78499999950867,759.1350000002421,768.7900000000809,h3-29
5688,https://www.avgle.com,130.25999999990745,8788.795000000391,12828.354999999648,h3-29
5727,https://www.ficbook.net,271.41999999912514,4970.4599999986385,8970.524999998815,h3-29
5742,https://www.bloombergquint.com,256.04999999995925,4458.709999998973,12351.754999999685,h3-29
5789,https://www.brstej.com,346.85999999965134,440.20499999896856,4450.78999999896,h3-29
5810,https://www.ole.com.ar,886.0399999994115,5064.484999998967,14189.875000000031,h3-29
5824,https://www.tensorflow.org,284.40500000033353,917.3350000000937,5782.040000000053,h3-29
5855,https://www.gab.com,605.7249999994383,1109.919999998965,2667.9199999998677,h3-29
5904,https://www.ilfattoquotidiano.it,82.67999999952734,1740.7899999998333,5818.734999998925,h3-29
5933,https://www.mtlnovel.com,207.73000000008324,529.7100000007049,1103.5500000016327,h3-29
5953,https://www.ufreegames.com,69.26500000008673,292.97500000029686,1283.0950000006849,h3-29
5971,https://www.jbhifi.com.au,369.31000000004127,8699.839999999313,28577.090000000684,h3-29
5977,https://www.secnews.gr,1020.8149999998567,1425.1249999997524,21196.78500000009,h3-29
6022,https://www.fashionnova.com,296.24500000136317,4536.584999999832,20446.810000001282,h3-29
6073,https://www.openclassrooms.com,1471.4599999988422,1626.4749999991184,1668.969999998808,h3-29
6095,https://www.onlinekhabar.com,65.23500000002969,5024.844999999914,8234.959999999774,h3-29
6104,https://www.googlegroups.com,650.9550000009767,0.0,0.0,h3-29
6112,https://www.exe.io,456.6000000013446,504.4250000009925,4606.0250000009555,h3-29
6120,https://www.texastribune.org,55.8950000013283,283.7600000002567,4527.299999999741,h3-29
6163,https://www.dailypost.ng,599.6799999993527,699.4599999998172,1082.6099999994767,h3-29
6164,https://www.betfair.com,166.25999999996566,4358.620000000883,9237.699999999677,h3-29
6181,https://www.faceit.com,245.61999999968972,5914.259999999558,9933.665000000474,h3-29
6234,https://www.shapeways.com,1540.8150000002936,2800.419999999576,6667.900000000373,h3-29
6282,https://www.fontspace.com,990.4850000002624,1310.0249999988594,5316.820000000007,h3-29
6325,https://www.mosaiquefm.net,287.77500000069267,2337.0300000005955,5283.304999999018,h3-29
6344,https://www.psychiatryonline.org,2678.8999999989755,3298.1849999996484,7317.684999999983,h3-29
6373,https://www.alternativeto.net,602.469999999812,4885.9749999992355,8696.584999999686,h3-29
6380,https://www.google.ba,123.5049999995681,318.3750000007421,613.004999999248,h3-29
6453,https://www.armorgames.com,392.1699999991688,5053.320000000895,12533.074999999373,h3-29
6455,https://www.kingston.com,736.9400000006862,5499.514999999519,9555.420000000595,h3-29
6528,https://www.truthout.org,185.12999999984456,963.9950000000681,2506.5150000009453,h3-29
6532,https://www.die.net,664.745000000039,767.59999999922,844.3850000003295,h3-29
6557,https://www.thehackernews.com,373.5250000008818,419.67000000113336,549.4550000003073,h3-29
6581,https://www.google.com.mm,131.01000000096974,398.96000000044296,682.1900000013558,h3-29
6617,https://www.lowyat.net,377.91000000106584,1164.7050000010495,4612.085000000661,h3-29
6618,https://www.gigazine.net,1436.840000000302,2038.9049999994315,7635.9449999999915,h3-29
6677,https://www.a2hosting.com,1761.0199999999168,6403.355000000373,16278.80499999992,h3-29
6689,https://www.connectad.io,777.2049999985028,4836.4050000000125,4855.244999998831,
6690,https://www.google.ee,125.46000000111236,220.1299999996991,350.9500000000116,h3-29
6692,https://www.google.com.sv,122.06999999943945,238.83999999998198,489.2299999992247,h3-29
6696,https://www.google.com.cu,220.7149999994726,348.3850000011444,604.4750000000931,h3-29
6701,https://www.jugantor.com,495.25999999968917,1516.0000000014404,4544.9399999997695,h3-29
6736,https://www.hkgolden.com,377.4799999991956,4676.244999998744,9314.324999999373,h3-29
6742,https://www.nobitex.ir,1797.6599999983594,1904.5249999999212,2738.319999998567,h3-29
6746,https://www.google.com.gt,121.02500000037253,239.15999999917403,503.9699999997538,h3-29
6755,https://www.okp.com,0.930000000153086,200.88500000019852,216.7800000006537,
6759,https://www.mg.co.za,132.3149999989255,1286.244999999326,4434.284999999363,h3-29
6808,https://www.sennheiser.com,184.769999999844,487.0049999990442,974.2549999991753,h3-29
6819,https://www.google.cm,129.08000000061293,418.33000000042375,956.545000000915,h3-29
6837,https://www.google.co.cr,130.88499999867054,372.8249999985565,854.9149999998918,h3-29
6889,https://www.bulbagarden.net,309.7600000000966,859.2349999998987,3433.114999999816,h3-29
6930,https://www.whatismyip.com,1342.6799999997454,5768.135000000258,6089.325000000827,h3-29
6951,https://www.mind.org.uk,324.4500000000698,4744.445000000269,8675.779999999577,h3-29
6959,https://www.wuxiaworld.com,59.95500000062748,4410.789999999906,8170.664999999643,h3-29
6984,https://www.camelcamelcamel.com,50.08499999894411,84.66500000031373,86.94499999910477,h3-29
6993,https://www.google.com.bo,137.86000000072818,255.10000000031138,509.8950000010518,h3-29
7031,https://www.yummly.com,1518.8550000002579,6207.094999999754,6213.780000000042,h3-29
7096,https://www.jagodangdut.com,880.3850000003878,1121.7799999994895,3362.3699999989185,h3-29
7105,https://www.google.com.np,118.68999999933294,293.9499999993132,537.544999999227,h3-29
7131,https://www.sammobile.com,884.4699999990552,944.3799999990006,5084.054999999353,h3-29
7139,https://www.businessoffashion.com,206.0299999993731,4701.529999998455,20308.03999999989,h3-29
7170,https://www.blogspot.be,619.5649999990565,807.7049999992596,883.9099999986502,h3-29
7188,https://www.goop.com,938.6149999991176,5402.649999999994,9001.329999999143,h3-29
7224,https://www.enotes.com,46.67999999946914,95.52500000063446,4271.080000000438,h3-29
7254,https://www.rawgit.com,436.6250000002765,666.2099999994097,726.6099999997094,h3-29
7268,https://www.cyberciti.biz,39.394999999785796,105.83000000042378,190.47499999942372,h3-29
7311,https://www.smadex.com,0.18000000090978574,204.2799999999261,209.20500000102038,
7317,https://www.beforeitsnews.com,1079.0999999990165,1488.5749999994007,6803.80999999943,h3-29
7322,https://www.skyscrapercity.com,317.55499999962916,765.3449999997973,4797.520000000077,h3-29
7332,https://www.google.com.py,125.97999999888998,245.37499999860302,506.91999999980914,h3-29
7365,https://www.google.com.bh,112.3200000001816,240.13000000013562,528.374999999869,h3-29
7374,https://www.keywordtool.io,538.604999999734,1005.1449999991746,5055.135000000519,h3-29
7383,https://www.listverse.com,500.97500000083534,660.7600000006641,763.8150000002498,h3-29
7422,https://www.sportsmansoutdoorsuperstore.com,1017.985000000408,1522.420000001148,5250.560000000405,h3-29
7461,https://www.opensubtitles.org,178.40499999874737,4769.389999999476,8704.714999999851,h3-29
7467,https://www.gymshark.com,277.48500000052445,8472.004999999626,16462.58999999918,h3-29
7485,https://www.yifysubtitles.org,664.4950000008976,2011.029999999664,5288.495000000694,h3-29
7570,https://www.narrative.io,220.40000000015428,1189.0000000003056,1438.9750000009371,h3-29
7573,https://www.jomashop.com,164.7049999992305,279.16499999992084,14397.70999999928,h3-29
7599,https://www.servimg.com,117.92000000059488,4189.280000000508,4194.675000000642,
7608,https://www.zblogcn.com,705.7000000004336,737.8850000004603,2152.1650000013324,h3-29
7687,https://www.actionnetwork.org,735.1550000003044,5103.675000000294,5200.269999999364,h3-29
7703,https://www.shopifypreview.com,247.74000000070373,8299.275000001217,8300.585000000865,h3-29
7836,https://www.google.com.lb,104.02500000054717,371.7350000006263,887.5800000005256,h3-29
7853,https://www.redstate.com,44.20500000014727,236.63499999929627,418.8349999985803,h3-29
7859,https://www.smarttradecoin.com,606.6399999999702,5048.4749999995975,5805.22000000019,h3-29
7868,https://www.brightlocal.com,46.299999999973814,490.9449999995559,7425.704999999651,h3-29
7870,https://www.gotporn.com,173.0850000003556,4519.114999999147,8383.749999999054,h3-29
7886,https://www.workplace.com,587.4199999998383,1430.0950000015293,2518.8450000005105,h3-29
7898,https://www.google.co.ke,122.91499999992085,560.7600000003004,1606.450000001132,h3-29
7926,https://www.chrono24.com,88.53500000077473,804.0650000002643,1921.0000000002765,h3-29
7927,https://www.google.ge,139.14499999918914,391.0999999989143,1138.5299999983545,h3-29
7930,https://www.google.cat,96.49999999965077,300.00500000096514,1015.2300000008836,h3-29
7940,https://www.yankodesign.com,795.2600000007807,857.1599999995668,1082.2750000006636,h3-29
7966,https://www.apkmirror.com,47.80500000015309,111.20500000106405,218.77000000131372,h3-29
7972,https://www.cloudflare-dns.com,855.2749999998923,2162.945000000036,5015.499999999521,h3-29
7984,https://www.google.com.kh,123.410000000149,294.91000000052736,647.080000000642,h3-29
8089,https://www.google.lu,104.4000000001688,219.91499999967343,461.2550000001647,h3-29
8138,https://www.chrome.com,72.78500000029453,306.40500000117754,639.8349999999483,h3-29
8139,https://www.yangsenshoubao.com,54.47500000082072,125.93999999990045,127.25500000124157,h3-29
8149,https://www.destructoid.com,312.15500000143953,4660.075000001598,8740.360000001601,h3-29
8165,https://www.cibercuba.com,48.00500000055763,268.9050000008137,5954.395000000659,h3-29
8170,https://www.smrtb.com,78.71499999964726,8229.865000001155,16253.425000000789,h3-29
8179,https://www.clutch.co,218.5700000009092,260.48000000082544,12279.560000000856,h3-29
8202,https://www.blogspot.mx,888.2099999991624,1179.9099999989267,1380.2899999991496,h3-29
8308,https://www.googlehosted.com,1.2849999984609894,122.47500000012224,127.91499999912048,
8323,https://www.ethnos.gr,92.41500000098313,1190.855000000738,5193.8050000007925,h3-29
8325,https://www.blogspot.ch,816.1499999987427,1027.4699999990844,1142.3999999988155,h3-29
8345,https://www.moveon.org,667.4249999996391,8914.449999998396,9027.764999998908,h3-29
8358,https://www.google.am,123.38500000078056,678.8200000009965,1279.3999999994412,h3-29
8384,https://www.gcu.edu,82.76499999919906,370.27499999931024,8235.984999999346,h3-29
8394,https://www.google.hn,124.7849999999744,312.275000000227,804.5700000002397,h3-29
8400,https://www.google.com.om,119.08000000039465,417.8099999990082,792.250000000422,h3-29
8414,https://www.google.com.pr,148.70499999960884,416.9399999991583,1047.1999999990658,h3-29
8434,https://www.google.cd,113.98000000008324,283.29999999914435,747.5899999990361,h3-29
8480,https://www.cookieconsent.com,52.255000000513974,179.21500000011292,607.029999999213,h3-29
8490,https://www.google.com.ni,1268.9100000006877,1383.4700000006706,1651.8450000003213,h3-29
8525,https://www.icook.tw,688.1600000015169,784.3850000008388,5063.815000001341,h3-29
8569,https://www.jewishvirtuallibrary.org,88.55000000039581,256.48499999988417,1035.0149999994755,h3-29
8581,https://www.woyaowz.cn,69.99499999983527,205.30000000144355,312.35000000015134,h3-29
8591,https://www.ionicframework.com,347.4000000005617,1659.8549999998795,19150.480000000243,h3-29
