no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
5682,https://www.lihkg.com,2,ok,104.17.213.193,443,0.029974,0.011643,0.010584,0.030147,0.000000,0.053057,0.053110
5685,https://www.mundosexanuncio.com,2,ok,104.26.14.202,443,0.027906,0.007126,0.006052,0.028043,0.000000,0.416818,0.495724
5688,https://www.avgle.com,2,ok,172.64.128.16,443,0.024019,0.008260,0.006481,0.024126,0.000000,0.084680,0.084795
5727,https://www.ficbook.net,2,ok,104.20.39.242,443,0.029225,0.015648,0.014660,0.029321,0.000000,0.185649,0.185750
5742,https://www.bloombergquint.com,2,ok,104.18.93.198,443,0.039817,0.014919,0.013621,0.039925,0.000000,0.683903,0.688908
5789,https://www.brstej.com,2,ok,104.26.7.141,443,0.025922,0.009020,0.007956,0.026059,0.000000,0.125484,0.125575
5810,https://www.ole.com.ar,2,ok,104.18.170.219,443,0.033284,0.007795,0.006566,0.033441,0.000000,0.332331,0.361024
5824,https://www.tensorflow.org,2,ok,172.217.23.174,443,0.066435,0.048238,0.046822,0.066623,0.000000,0.315026,0.833728
5855,https://www.gab.com,2,ok,104.16.121.96,443,0.028057,0.007734,0.006455,0.028192,0.000000,0.041778,0.041823
5904,https://www.ilfattoquotidiano.it,2,ok,104.17.61.22,443,0.042317,0.023910,0.022960,0.042448,0.000000,0.062234,0.066798
5933,https://www.mtlnovel.com,2,ok,172.64.129.13,443,0.026795,0.005984,0.005153,0.026924,0.000000,0.252137,0.252855
5953,https://www.ufreegames.com,2,ok,172.67.6.56,443,0.038700,0.015418,0.014262,0.038812,0.000000,0.077918,0.078260
5971,https://www.jbhifi.com.au,2,ok,104.18.2.69,443,0.142249,0.120435,0.119129,0.142384,0.000000,0.870640,0.891848
5977,https://www.secnews.gr,2,ok,104.23.129.67,443,0.060641,0.035808,0.034573,0.060809,0.000000,0.111323,0.149893
6022,https://www.fashionnova.com,2,ok,23.227.38.74,443,0.035447,0.007487,0.005903,0.035555,0.000000,0.659735,0.673903
6073,https://www.openclassrooms.com,2,ok,104.22.64.200,443,0.055014,0.009011,0.007307,0.055143,0.000000,0.163981,0.164085
6095,https://www.onlinekhabar.com,2,ok,104.24.109.37,443,0.052186,0.030583,0.021962,0.052312,0.000000,0.757632,1.109453
6104,https://www.googlegroups.com,2,ok,108.177.15.138,443,0.042443,0.014621,0.013523,0.042533,0.000000,0.633182,0.633321
6112,https://www.exe.io,2,ok,104.26.3.103,443,0.062609,0.039766,0.038987,0.062704,0.000000,0.143290,0.143340
6120,https://www.texastribune.org,2,ok,104.22.39.184,443,0.019850,0.007017,0.006263,0.019937,0.000000,0.044708,0.052485
6163,https://www.dailypost.ng,2,ok,172.67.75.56,443,0.070230,0.041540,0.032610,0.070349,0.000000,0.424352,0.424403
6164,https://www.betfair.com,2,ok,104.16.182.251,443,0.041801,0.012601,0.011486,0.041947,0.000000,0.114117,0.114165
6181,https://www.faceit.com,2,ok,104.16.12.251,443,0.029261,0.006335,0.005236,0.029389,0.000000,0.169414,0.169516
6234,https://www.shapeways.com,2,ok,104.20.22.246,443,0.026015,0.006286,0.004964,0.026186,0.000000,2.489340,2.492680
6282,https://www.fontspace.com,2,ok,172.67.74.192,443,0.048479,0.022924,0.014148,0.048593,0.000000,0.744984,0.870444
6325,https://www.mosaiquefm.net,2,ok,104.26.6.159,443,0.043764,0.018382,0.016697,0.043907,0.000000,0.418663,0.418732
6344,https://www.psychiatryonline.org,2,ok,104.18.8.174,443,0.019215,0.006273,0.005520,0.019327,0.000000,0.687503,0.687714
